,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
147,Bellengreville.author.1111,lcR46rjTJQKjT59eBOd,9040,160,5,2620,0.137,0.13,194.26,FALSE,lcRZO4HqbUWqa1940OH
148,BellsLake.Szeicz.1995,lcRCIhUix5QOaVYiSJ3,11880,210,5,3380,0.09,0.53,72,TRUE,lcR2CvmXO3gGnduKOQD
149,BelmontBog.Spear.1976,lcREoJrRPZcdBd1VGG1,11800,320,4,6220,0.263,0.58,137.9,FALSE,lcRjjzOYOoT5MhFfbKd
150,BeniciaStatePark.MalamudRoam.2004,lcRmJcprGtJJQ7GkaZE,2380,60,7,1040,0.071,0.23,87.11,FALSE,lcRhVSxFa0ht7XiMmaY
151,BensonPond.Oswald.2018,lcRyuLsI0devWnXL9UK,11950,200,12,2390,0.075,0.54,148.96,TRUE,lcRknKcm7kFuvyq1reC
152,BerendonFen.Clague.1996,lcROy0xp2GIwYeJ3LHl,7200,165,6,4860,0.665,0.18,266.45,FALSE,lcRIiIQpoIEmDw1NBya
153,Bereziuk.Richard.1979,lcRxSLeFeqzdhhwsGjx,8580,400,3,3430,0.147,0.55,71.38,FALSE,lcRqwoH6ipHBX4cXgr6
154,Berezovskoyemire.Novenko.2011,lcRpSjdHy0Ai62rIOtN,7820,170,9,1570,0.186,0.24,80.58,FALSE,lcRbOW1BqJjcNTjrTC8
155,Bergakyllen.Svensson.1989,lcRaLjFyOAKHhpCWjCi,2580,240,2,1670,0.193,0.26,85.69,FALSE,lcRS9Fhtw45qwwnn319
156,BerryPond.Oswald.2018,lcRmoUYX9CAfAdUW9Re,11710,50,9,2070,0.017,0.61,103.3,TRUE,lcRkVi9CYQAMuSn3quq
157,BerryPond.Whitehead.1979,lcRFk9bWYJHqyCtFNx8,11410,240,14,2560,0.037,0.62,109.98,TRUE,lcR1UloI4t672EvnEEL
158,Besbog.Stefanova.1995,lcREK7CDcb4nMN8iCV0,10770,340,3,5290,0.045,0.32,157.62,FALSE,lcRWk9lpkqqTcCFO4TX
159,BetenkyosExposureAdychaRiver.Anderson.2002,lcR55pR3LIsKa3DEoR2,2670,300,3,1670,0.869,0.12,11.05,FALSE,lcR8K4qSidSJRt3qBmM
160,BeysehirGoluI.vanZeist.1975,lcRVJnLtrmRCUWEjpis,7310,170,2,3490,0.262,0.34,77.94,FALSE,lcRWz91L9lABHy9m9oz
